run_id,num_stories,num_bays_x,num_bays_z,story_height,bay_width_x,bay_width_z,G_k,Q_k,W_k,total_height_m,delta_sway_mm,delta_sway_lim_mm,util_sway,sway_status,beam_M_u_kNm,col_P_u_kN,optimal_beam_sec,optimal_col_sec,beam_mass_kg_m,col_mass_kg_m,beam_util_pct,col_util_pct,total_steel_weight_kg
190,4,1,1,3.2,4.3,4.69,22.83,14.96,20.26,12.8,106.64,25.6,4.1658,Fail,731.07,1305.0,UB 610x229x101,UC 305x305x118,101.2,118.0,92.31,144.4,13319.9
191,3,3,2,4.06,6.2,5.16,12.5,4.05,17.74,12.18,63.27,24.36,2.5974,Fail,291.22,826.46,UB 406x178x54,UC 305x305x118,54.3,118.0,97.16,85.07,33061.21
192,2,2,3,3.34,7.94,7.17,10.92,8.42,9.02,6.68,12.95,13.36,0.9692,Pass,184.98,861.52,UB 457x191x67,UC 254x254x73,67.1,73.1,77.18,86.61,23044.01
193,5,2,2,4.21,6.21,6.45,7.16,6.02,24.99,21.05,344.14,42.1,8.1743,Fail,1072.24,1335.45,UB 610x229x101,UC 305x305x118,101.2,118.0,135.38,268.83,60790.86
194,4,3,2,4.15,7.29,4.3,29.31,10.35,11.25,16.6,76.49,33.2,2.3039,Fail,400.26,2629.65,UB 533x210x82,UC 305x305x118,82.2,118.0,75.81,137.5,56388.89
195,5,2,1,4.32,7.12,6.56,9.55,14.56,10.82,21.6,174.99,43.2,4.0507,Fail,551.78,1833.74,UB 533x210x82,UC 305x305x118,82.2,118.0,97.4,162.05,35086.56
196,1,1,3,3.23,4.66,5.29,22.73,6.5,23.52,3.23,10.61,6.46,1.6424,Fail,135.69,345.26,UB 305x165x40,UC 203x203x60,40.5,60.0,81.56,98.22,3590.79
197,3,1,2,3.29,7.83,5.1,20.63,9.99,2.34,9.87,11.43,19.74,0.5793,Pass,229.0,1218.99,UB 533x210x82,UC 305x305x97,82.2,96.9,72.53,85.78,16561.69
198,2,3,3,3.23,6.63,6.88,20.13,12.95,14.09,6.46,11.75,12.92,0.9098,Pass,215.49,1298.55,UB 457x191x67,UC 254x254x89,67.1,89.0,76.85,92.13,30955.54
199,1,1,1,4.42,7.08,5.06,10.27,9.44,15.45,4.42,25.31,8.84,2.8631,Fail,180.9,189.29,UB 406x178x54,UC 254x254x73,54.3,73.1,87.67,77.33,2610.81
200,1,2,3,3.82,6.57,5.21,11.12,12.5,10.15,3.82,5.9,7.64,0.7718,Pass,160.74,431.49,UB 406x178x54,UC 203x203x60,54.3,60.0,83.95,82.52,8150.53
201,4,1,3,3.09,5.76,5.94,10.1,9.89,7.81,12.36,42.5,24.72,1.7193,Fail,286.99,1115.39,UB 406x178x54,UC 305x305x97,54.3,96.9,95.74,88.45,22326.77
202,3,3,2,4.46,4.52,5.48,19.04,6.15,11.66,13.38,51.18,26.76,1.9125,Fail,243.68,1113.72,UB 406x178x54,UC 305x305x118,54.3,118.0,81.29,82.82,32714.39
203,3,2,1,3.21,4.2,7.78,26.6,7.44,24.07,9.63,44.57,19.26,2.3143,Fail,343.98,1155.63,UB 457x191x67,UC 305x305x118,67.1,118.0,86.26,103.58,14898.22
204,2,2,3,4.08,4.76,4.64,29.9,8.07,21.98,8.16,50.96,16.32,3.1227,Fail,301.99,1035.17,UB 457x191x67,UC 305x305x118,67.1,118.0,75.73,95.6,22269.09
205,4,1,1,4.42,6.02,7.87,10.38,6.59,1.26,17.68,23.78,35.36,0.6725,Pass,125.04,693.33,UB 356x171x45,UC 254x254x73,45.0,73.1,71.71,71.08,10170.03
206,4,3,3,4.01,5.14,4.03,7.69,3.74,6.61,16.04,33.62,32.08,1.0479,Fail,156.78,601.13,UB 305x165x40,UC 254x254x73,40.5,73.1,91.22,91.92,36586.86
207,3,2,2,3.07,4.2,6.25,14.06,5.75,9.66,9.21,15.28,18.42,0.8298,Pass,134.56,909.45,UB 305x165x40,UC 254x254x73,40.5,73.1,78.29,94.93,13677.31
208,4,3,2,4.24,6.49,6.44,8.22,3.26,9.33,16.96,64.3,33.92,1.8956,Fail,242.47,867.95,UB 406x178x54,UC 305x305x97,54.3,96.9,80.89,92.02,43597.88
209,3,3,2,4.13,4.8,6.04,17.5,2.59,3.43,12.39,11.7,24.78,0.472,Pass,99.27,944.55,UB 305x165x40,UC 254x254x73,40.5,73.1,61.26,76.05,21988.19
210,3,2,3,3.69,6.43,6.06,13.2,9.97,4.06,11.07,15.03,22.14,0.6788,Pass,156.03,1274.69,UB 406x178x54,UC 254x254x73,54.3,73.1,77.2,99.15,26974.75
211,5,3,2,3.89,6.03,6.04,17.25,9.32,11.87,19.45,85.58,38.9,2.2001,Fail,362.93,2323.6,UB 457x191x67,UC 305x305x118,67.1,118.0,91.02,135.62,61960.15
212,1,2,2,4.01,7.92,6.33,24.92,11.43,17.2,4.01,12.76,8.02,1.5914,Fail,343.94,811.02,UB 533x210x82,UC 254x254x89,82.2,89.0,89.1,94.73,10240.11
213,1,3,2,3.4,6.62,7.89,19.46,4.96,1.28,3.4,0.42,6.8,0.0625,Pass,220.87,534.07,UB 406x178x54,UC 203x203x60,54.3,60.0,88.8,82.07,9110.61
214,4,1,3,3.94,6.48,7.36,8.69,10.85,0.79,15.76,10.5,31.52,0.3331,Pass,140.28,1225.46,UB 406x178x54,UC 254x254x73,54.3,73.1,66.64,95.24,24437.82
215,1,1,1,3.66,5.68,5.65,10.1,8.52,15.29,3.66,11.66,7.32,1.5926,Fail,118.27,165.87,UB 305x165x40,UC 203x203x60,40.5,60.0,94.08,77.62,1796.13
216,4,3,3,3.09,4.55,4.83,13.13,10.61,13.14,12.36,25.27,24.72,1.0223,Fail,192.18,1287.89,UB 356x171x45,UC 305x305x97,45.0,96.9,90.17,87.8,39423.74
217,3,1,2,4.37,5.37,5.42,24.3,11.37,16.08,13.11,166.98,26.22,6.3683,Fail,758.91,1511.28,UB 610x229x101,UC 305x305x118,101.2,118.0,95.82,164.83,20754.92
218,3,3,2,3.29,4.99,6.23,10.62,14.65,7.44,9.87,11.5,19.74,0.5825,Pass,138.37,1282.65,UB 305x165x40,UC 254x254x73,40.5,73.1,86.58,95.75,20170.09
219,3,3,1,4.04,5.96,5.92,19.01,14.15,18.04,12.12,62.17,24.24,2.5648,Fail,331.16,1279.65,UB 457x191x67,UC 305x305x118,67.1,118.0,83.05,99.57,23406.55
220,3,1,3,4.01,5.52,7.92,25.46,14.41,20.12,12.03,156.93,24.06,6.5223,Fail,802.22,2075.57,UB 610x229x101,UC 305x305x118,101.2,118.0,101.29,187.21,32486.88
221,3,1,2,4.43,4.32,7.7,21.4,11.72,5.35,13.29,53.15,26.58,1.9997,Fail,281.59,1558.64,UB 406x178x54,UC 305x305x118,54.3,118.0,93.94,91.28,16537.82
222,5,2,3,4.04,4.55,6.46,19.67,5.15,16.75,20.2,173.3,40.4,4.2897,Fail,696.2,1899.73,UB 610x229x101,UC 305x305x118,101.2,118.0,87.9,197.54,76440.44
223,5,1,3,3.35,4.4,5.32,16.81,10.86,3.44,16.75,32.21,33.5,0.9616,Pass,206.78,1584.67,UB 356x171x45,UC 305x305x97,45.0,96.9,97.03,89.31,24126.6
224,5,1,2,3.98,7.52,5.9,21.26,11.83,7.18,19.9,160.16,39.8,4.0242,Fail,620.56,2479.13,UB 610x229x101,UC 305x305x118,101.2,118.0,78.35,158.38,37446.16
225,3,3,1,4.36,4.36,6.3,18.38,11.4,23.42,13.08,93.45,26.16,3.5724,Fail,441.71,971.31,UB 533x210x82,UC 305x305x118,82.2,118.0,77.97,120.68,25012.9
226,2,2,1,4.4,4.15,7.34,24.7,4.42,18.73,8.8,54.61,17.6,3.103,Fail,282.85,640.28,UB 406x178x54,UC 305x305x118,54.3,118.0,94.36,83.21,10424.53
227,3,1,1,3.45,6.41,7.71,13.38,7.91,16.03,10.35,80.73,20.7,3.8998,Fail,472.69,754.43,UB 533x210x82,UC 305x305x118,82.2,118.0,83.44,95.62,11849.18
228,5,2,1,4.28,5.87,4.77,7.82,4.11,11.47,21.4,162.72,42.8,3.8018,Fail,524.33,694.48,UB 533x210x82,UC 305x305x118,82.2,118.0,92.56,129.42,30682.89
229,3,3,1,3.02,5.35,5.18,21.86,4.51,15.27,9.06,18.03,18.12,0.995,Pass,169.35,877.54,UB 356x171x45,UC 254x254x73,45.0,73.1,79.46,98.17,12428.99
230,4,2,3,3.49,5.6,4.38,29.54,8.21,23.4,13.96,108.52,27.92,3.8868,Fail,580.92,2130.01,UB 610x229x101,UC 305x305x118,101.2,118.0,73.35,175.99,53859.62
231,1,2,2,3.35,7.02,7.82,12.55,11.4,0.29,3.35,0.17,6.7,0.0254,Pass,218.97,563.26,UB 457x191x67,UC 203x203x60,67.1,60.0,66.05,86.25,7783.58
232,3,3,1,3.09,4.47,5.23,15.14,8.53,22.38,9.27,26.28,18.54,1.4173,Fail,215.43,719.73,UB 406x178x54,UC 254x254x89,54.3,89.0,71.87,97.57,14377.09
233,3,3,1,3.96,7.76,5.47,10.52,14.45,11.95,11.88,43.7,23.76,1.8393,Fail,274.28,1149.42,UB 457x191x67,UC 305x305x97,67.1,96.9,93.02,90.75,22986.35
234,4,3,3,3.56,6.81,7.65,23.93,12.43,20.64,14.24,79.59,28.48,2.7945,Fail,434.43,3019.38,UB 533x210x82,UC 305x305x118,82.2,118.0,76.69,163.0,83938.5
