run_id,num_stories,num_bays_x,num_bays_z,story_height,bay_width_x,bay_width_z,G_k,Q_k,W_k,total_height_m,delta_sway_mm,delta_sway_lim_mm,util_sway,sway_status,beam_M_u_kNm,col_P_u_kN,optimal_beam_sec,optimal_col_sec,beam_mass_kg_m,col_mass_kg_m,beam_util_pct,col_util_pct,total_steel_weight_kg
1513,5,2,2,4.39,6.19,5.56,16.2,3.51,13.86,21.95,220.42,43.9,5.0209,Fail,679.8,1640.33,UB 610x229x101,UC 305x305x118,101.2,118.0,85.83,189.31,58983.9
1514,3,1,2,3.21,7.84,5.96,24.85,2.54,1.47,9.63,6.66,19.26,0.3459,Pass,192.73,1162.66,UB 533x210x82,UC 254x254x89,82.2,89.0,65.13,95.01,16821.4
1515,4,3,3,4.13,6.36,7.39,7.27,10.51,22.8,16.52,141.87,33.04,4.2939,Fail,535.14,1455.95,UB 533x210x82,UC 305x305x118,82.2,118.0,94.46,155.26,85441.76
1516,5,3,3,3.8,5.58,6.19,10.02,6.16,11.2,19.0,71.6,38.0,1.8842,Fail,303.35,1370.46,UB 457x191x67,UC 305x305x118,67.1,118.0,76.08,99.66,83258.02
1517,2,2,3,3.64,5.74,4.33,5.6,3.36,14.03,7.28,23.2,14.56,1.5935,Fail,139.09,265.13,UB 305x165x40,UC 254x254x73,40.5,73.1,80.92,77.77,13262.11
1518,5,2,2,3.75,7.15,5.15,22.1,2.72,20.78,18.75,207.47,37.5,5.5326,Fail,751.59,2143.12,UB 610x229x101,UC 305x305x118,101.2,118.0,94.9,214.49,57255.3
1519,2,1,2,4.34,6.99,6.29,9.33,6.08,1.2,8.68,6.81,17.36,0.3924,Pass,94.97,458.04,UB 406x178x54,UC 203x203x60,54.3,60.0,65.96,80.68,8134.52
1520,1,1,2,3.58,5.41,6.15,25.59,10.89,10.85,3.58,7.51,7.16,1.0495,Fail,207.43,508.87,UB 406x178x54,UC 254x254x73,54.3,73.1,72.4,69.89,3787.26
1521,5,3,1,3.76,6.72,4.18,10.36,7.94,4.64,18.8,31.54,37.6,0.8388,Pass,168.57,1152.9,UB 406x178x54,UC 254x254x89,54.3,89.0,69.6,87.77,28871.96
1522,2,3,2,3.11,4.81,4.83,21.01,2.2,23.05,6.22,14.42,12.44,1.1593,Fail,138.79,648.13,UB 305x165x40,UC 254x254x73,40.5,73.1,80.75,86.17,12092.51
1523,2,3,1,4.39,4.02,4.96,25.34,12.81,24.61,8.78,50.59,17.56,2.8809,Fail,277.39,714.21,UB 406x178x54,UC 305x305x118,54.3,118.0,92.54,81.43,13062.38
1524,4,1,2,4.38,5.61,4.62,19.97,10.08,6.45,17.52,113.81,35.04,3.2479,Fail,474.78,1449.47,UB 533x210x82,UC 305x305x118,82.2,118.0,83.81,113.1,24014.09
1525,4,3,3,4.07,7.61,5.24,28.51,10.49,22.84,16.28,148.26,32.56,4.5535,Fail,615.51,2858.52,UB 610x229x101,UC 305x305x118,101.2,118.0,77.72,196.19,93156.8
1526,4,3,1,3.62,5.65,5.11,27.53,12.62,12.21,14.48,45.36,28.96,1.5665,Fail,289.51,1863.99,UB 406x178x54,UC 305x305x118,54.3,118.0,96.58,100.42,25471.77
1527,5,1,3,4.04,4.17,7.07,8.22,10.96,1.76,20.2,30.98,40.4,0.7667,Pass,150.61,1362.97,UB 305x165x40,UC 254x254x89,40.5,89.0,87.63,92.86,26350.15
1528,1,1,1,4.35,5.95,4.73,13.18,14.27,6.41,4.35,9.31,8.7,1.07,Fail,107.2,218.49,UB 406x178x54,UC 203x203x60,54.3,60.0,72.47,77.98,2203.85
1529,4,2,3,3.43,7.42,5.05,24.02,7.13,22.14,13.72,112.89,27.44,4.1142,Fail,559.58,2210.64,UB 533x210x82,UC 305x305x118,82.2,118.0,98.78,168.59,53889.05
1530,2,1,3,4.27,4.8,6.07,5.89,8.22,2.79,8.54,12.61,17.08,0.7382,Pass,85.27,373.45,UB 254x146x31,UC 203x203x46,31.1,46.1,82.93,91.13,6609.12
1531,1,2,1,3.13,6.77,4.27,15.9,6.82,18.46,3.13,5.3,6.26,0.8473,Pass,160.85,300.78,UB 406x178x54,UC 203x203x46,54.3,46.1,88.36,99.13,3031.78
1532,4,3,1,3.99,6.01,7.9,24.21,11.42,1.09,15.96,6.0,31.92,0.1879,Pass,229.39,2002.32,UB 406x178x54,UC 305x305x118,54.3,118.0,96.94,95.06,29761.99
1533,1,1,2,4.29,5.0,4.7,16.55,13.72,1.41,4.29,1.85,8.58,0.2152,Pass,104.74,345.73,UB 356x171x45,UC 203x203x46,45.0,46.1,73.29,84.33,2707.61
1534,4,1,2,3.76,4.9,6.51,13.4,11.38,0.63,15.04,6.17,30.08,0.205,Pass,143.15,1331.01,UB 305x165x40,UC 254x254x73,40.5,73.1,83.29,96.12,13196.42
1535,4,1,1,3.9,5.15,4.64,18.68,6.13,2.78,15.6,31.53,31.2,1.0107,Fail,185.86,732.92,UB 356x171x45,UC 254x254x73,45.0,73.1,87.21,87.42,8085.84
1536,1,2,3,3.8,6.47,4.68,28.32,6.81,3.59,3.8,2.08,7.6,0.2737,Pass,209.36,588.69,UB 457x191x67,UC 254x254x73,67.1,73.1,75.85,68.9,9632.71
1537,1,3,1,3.01,4.01,4.23,14.69,9.37,21.43,3.01,3.22,6.02,0.5348,Pass,64.78,213.43,UB 254x146x31,UC 203x203x46,31.1,46.1,82.45,55.61,2384.57
1538,1,3,3,3.11,6.6,7.64,28.43,10.38,7.06,3.11,1.53,6.22,0.2461,Pass,304.43,805.35,UB 457x191x67,UC 254x254x73,67.1,73.1,88.95,87.4,15103.5
1539,5,2,2,4.37,4.95,5.96,11.25,14.74,15.92,21.85,225.03,43.7,5.1495,Fail,778.17,2082.9,UB 610x229x101,UC 305x305x118,101.2,118.0,98.25,221.26,56327.46
1540,4,1,2,3.8,5.44,4.58,20.93,4.27,24.18,15.2,257.59,30.4,8.4732,Fail,1191.77,1535.48,UB 610x229x101,UC 305x305x118,101.2,118.0,150.48,224.97,24783.87
1541,3,1,2,4.11,5.73,5.2,6.06,7.33,22.0,12.33,190.36,24.66,7.7193,Fail,852.16,787.86,UB 610x229x101,UC 305x305x118,101.2,118.0,107.6,161.44,20263.4
1542,2,2,1,4.26,5.41,7.77,15.53,7.43,18.34,8.52,52.1,17.04,3.0574,Fail,264.82,615.31,UB 406x178x54,UC 305x305x97,54.3,96.9,88.35,95.21,9835.1
1543,4,2,2,3.55,5.3,5.6,23.08,4.68,5.42,14.2,25.99,28.4,0.9152,Pass,174.22,1731.44,UB 356x171x45,UC 305x305x97,45.0,96.9,81.75,95.62,24155.82
1544,2,3,1,4.42,6.92,7.14,14.09,8.02,21.56,8.84,54.94,17.68,3.1076,Fail,265.2,666.25,UB 406x178x54,UC 305x305x97,54.3,96.9,91.83,91.18,14463.46
1545,4,2,3,3.46,5.57,5.88,18.57,7.88,22.62,13.84,101.5,27.68,3.667,Fail,531.01,1730.49,UB 533x210x82,UC 305x305x118,82.2,118.0,93.74,158.54,51648.86
1546,5,2,1,3.3,5.35,7.56,21.49,14.18,10.79,16.5,59.42,33.0,1.8007,Fail,344.53,2300.84,UB 457x191x67,UC 305x305x118,67.1,118.0,86.4,126.02,26470.84
1547,4,1,3,3.31,6.27,4.69,29.59,10.85,19.23,13.24,138.67,26.48,5.2367,Fail,786.97,2027.31,UB 610x229x101,UC 305x305x118,101.2,118.0,99.37,171.66,34042.02
1548,4,3,1,3.23,5.27,4.98,23.46,11.91,12.17,12.92,29.38,25.84,1.1369,Fail,225.92,1554.19,UB 406x178x54,UC 305x305x97,54.3,96.9,75.37,98.38,21210.07
1549,5,3,3,4.1,7.5,6.7,24.67,3.11,0.22,20.5,2.36,41.0,0.0576,Pass,191.26,2745.59,UB 457x191x67,UC 305x305x118,67.1,118.0,93.43,110.25,95873.2
1550,1,2,1,3.47,7.61,4.81,8.77,4.77,21.02,3.47,9.1,6.94,1.3105,Fail,132.99,201.72,UB 406x178x54,UC 203x203x46,54.3,46.1,74.79,91.64,3396.24
1551,3,3,2,3.88,7.31,5.9,22.59,5.77,2.54,11.64,8.56,23.28,0.3679,Pass,202.52,1624.04,UB 457x191x67,UC 305x305x97,67.1,96.9,88.31,89.57,36279.88
1552,5,1,1,3.24,4.47,7.64,15.24,9.3,15.72,16.2,132.06,32.4,4.0759,Fail,752.2,1460.54,UB 610x229x101,UC 305x305x118,101.2,118.0,94.97,149.62,19901.72
1553,3,3,1,4.46,6.66,4.59,16.12,11.82,3.39,13.38,17.53,26.76,0.655,Pass,186.38,1079.91,UB 457x191x67,UC 254x254x89,67.1,89.0,65.8,82.71,21266.38
1554,4,2,2,3.72,7.07,6.34,29.69,6.71,11.02,14.88,72.2,29.76,2.4261,Fail,395.44,2812.73,UB 533x210x82,UC 305x305x118,82.2,118.0,69.8,144.95,42257.81
1555,5,1,2,4.34,7.88,7.79,19.17,13.51,24.7,21.7,757.37,43.4,17.451,Fail,2122.32,3475.2,UB 610x229x101,UC 305x305x118,101.2,118.0,267.97,419.43,43092.4
1556,3,1,1,3.2,5.2,5.57,8.74,14.91,19.77,9.6,68.62,19.2,3.5737,Fail,486.97,709.59,UB 533x210x82,UC 305x305x118,82.2,118.0,85.96,96.77,9842.96
1557,2,3,2,3.44,7.17,7.15,13.87,14.79,12.37,6.88,13.33,13.76,0.969,Pass,220.26,1235.38,UB 457x191x67,UC 254x254x89,67.1,89.0,84.22,92.08,23684.01
1558,5,3,2,4.49,5.46,5.01,17.84,14.77,22.61,22.45,257.07,44.9,5.7253,Fail,842.91,2503.06,UB 610x229x101,UC 305x305x118,101.2,118.0,106.43,245.31,76934.52
1559,1,2,2,4.36,4.21,4.96,12.67,7.84,10.82,4.36,8.99,8.72,1.0308,Fail,78.44,300.6,UB 254x146x31,UC 203x203x46,31.1,46.1,81.34,85.29,3520.09
1560,1,2,3,4.49,6.63,6.64,13.32,2.41,21.8,4.49,22.81,8.98,2.54,Fail,138.56,307.36,UB 356x171x45,UC 254x254x73,45.0,73.1,88.8,74.41,9014.63
1561,5,1,3,3.86,5.21,4.8,16.75,7.05,17.38,19.3,285.54,38.6,7.3975,Fail,1171.98,1836.1,UB 610x229x101,UC 305x305x118,101.2,118.0,147.98,224.64,43337.04
1562,3,3,2,3.5,7.21,7.41,24.6,7.29,8.55,10.5,19.76,21.0,0.941,Pass,248.65,2025.35,UB 457x191x67,UC 305x305x118,67.1,118.0,95.28,86.36,39863.42
1563,3,3,2,3.83,5.96,5.07,27.83,13.94,2.12,11.49,6.21,22.98,0.2702,Pass,197.76,2025.91,UB 457x191x67,UC 305x305x118,67.1,118.0,70.5,84.04,35232.3
1564,3,3,1,3.03,4.51,7.05,11.07,4.3,1.62,9.09,1.81,18.18,0.0998,Pass,80.95,520.67,UB 254x146x31,UC 203x203x46,31.1,46.1,74.93,90.82,8508.15
1565,5,1,1,4.3,4.04,4.05,25.17,13.31,15.44,21.5,335.14,43.0,7.794,Fail,1316.37,2116.68,UB 610x229x101,UC 305x305x118,101.2,118.0,166.21,253.17,18335.08
1566,2,3,3,4.45,7.88,6.52,13.27,10.64,15.31,8.9,42.29,17.8,2.376,Fail,259.14,1010.55,UB 457x191x67,UC 305x305x97,67.1,96.9,93.27,86.91,36988.32
1567,1,3,1,3.3,6.98,4.32,7.29,14.37,0.1,3.3,0.11,6.6,0.0165,Pass,144.46,296.08,UB 406x178x54,UC 203x203x46,54.3,46.1,92.32,85.35,4429.43
1568,2,1,1,4.08,5.55,6.5,9.82,12.63,17.71,8.16,72.3,16.32,4.4303,Fail,400.55,483.65,UB 533x210x82,UC 305x305x118,82.2,118.0,70.71,84.1,7813.56
1569,4,3,3,3.28,5.15,6.7,26.63,2.8,4.62,13.12,11.68,26.24,0.4453,Pass,165.58,1942.92,UB 356x171x45,UC 305x305x97,45.0,96.9,77.86,88.74,45937.25
1570,1,1,1,4.46,5.05,7.51,19.39,4.46,3.1,4.46,4.68,8.92,0.5245,Pass,145.55,211.9,UB 305x165x40,UC 203x203x46,40.5,46.1,84.69,87.35,1839.78
1571,1,1,1,4.27,7.03,4.91,14.87,12.87,7.42,4.27,10.73,8.54,1.2561,Fail,147.95,243.76,UB 457x191x67,UC 254x254x73,67.1,73.1,76.83,68.08,2850.9
1572,4,3,3,3.43,5.71,7.3,23.39,8.9,16.37,13.72,50.62,27.44,1.8446,Fail,310.71,2394.77,UB 457x191x67,UC 305x305x118,67.1,118.0,77.92,123.94,67805.97
1573,3,2,1,3.1,4.25,5.38,23.32,10.06,20.44,9.3,33.63,18.6,1.8083,Fail,279.85,983.85,UB 406x178x54,UC 305x305x118,54.3,118.0,93.36,83.75,11982.91
1574,1,3,3,3.67,7.91,6.7,12.96,12.03,22.86,3.67,8.88,7.34,1.2094,Fail,230.85,544.79,UB 457x191x67,UC 254x254x73,67.1,73.1,98.6,82.55,16056.4
1575,5,3,1,3.85,6.91,5.28,13.95,12.54,9.26,19.25,69.24,38.5,1.7983,Fail,311.55,1818.4,UB 457x191x67,UC 305x305x118,67.1,118.0,78.13,105.0,39167.59
1576,3,2,2,3.82,6.98,4.91,9.26,10.98,10.24,11.46,44.42,22.92,1.9381,Fail,244.44,1090.92,UB 406x178x54,UC 305x305x97,54.3,96.9,86.27,93.12,21615.55
1577,4,2,2,3.7,7.6,5.81,8.55,11.76,10.49,14.8,70.23,29.6,2.3726,Fail,327.09,1634.04,UB 457x191x67,UC 305x305x118,67.1,118.0,82.03,106.23,37313.06
1578,1,1,2,3.57,7.48,4.6,14.14,7.65,20.44,3.57,16.0,7.14,2.2407,Fail,181.79,293.39,UB 457x191x67,UC 254x254x73,67.1,73.1,72.7,81.63,4306.17
1579,2,1,3,4.42,4.87,4.07,16.81,5.52,4.94,8.84,25.4,17.68,1.4367,Fail,154.87,450.63,UB 305x165x40,UC 254x254x73,40.5,73.1,90.11,73.18,8725.53
1580,4,2,1,3.46,7.82,6.2,10.69,8.32,18.09,13.84,97.97,27.68,3.5393,Fail,445.55,1199.99,UB 533x210x82,UC 305x305x118,82.2,118.0,78.65,121.86,26199.26
1581,4,2,1,3.73,6.66,5.41,7.65,14.39,17.65,14.92,112.77,29.84,3.7791,Fail,493.11,1219.47,UB 533x210x82,UC 305x305x118,82.2,118.0,87.04,134.78,24659.02
1582,5,2,1,3.35,7.77,7.21,15.41,2.17,7.7,16.75,55.22,33.5,1.6485,Fail,267.63,1388.74,UB 457x191x67,UC 305x305x118,67.1,118.0,67.12,84.46,29543.2
1583,2,2,3,3.47,6.47,6.45,19.98,8.89,8.53,6.94,12.65,13.88,0.9115,Pass,183.78,1088.8,UB 406x178x54,UC 254x254x73,54.3,73.1,98.0,95.98,18013.13
1584,3,3,1,3.55,7.88,4.25,16.18,7.42,5.24,10.65,13.41,21.3,0.6294,Pass,209.64,1005.24,UB 457x191x67,UC 254x254x73,67.1,73.1,92.06,99.33,19167.68
1585,3,3,1,4.37,7.61,6.54,27.55,8.19,7.01,13.11,35.9,26.22,1.3692,Fail,314.7,1641.53,UB 533x210x82,UC 305x305x118,82.2,118.0,77.72,85.55,30086.65
1586,3,3,2,4.05,7.61,7.86,24.54,9.44,22.78,12.15,89.03,24.3,3.6638,Fail,451.32,2307.08,UB 533x210x82,UC 305x305x118,82.2,118.0,79.67,147.99,49600.24
1587,5,3,1,4.22,5.0,6.25,27.26,6.07,22.02,21.1,193.57,42.2,4.587,Fail,726.81,1895.52,UB 610x229x101,UC 305x305x118,101.2,118.0,91.77,200.63,47748.4
1588,4,1,3,3.48,6.12,5.85,27.51,14.31,18.2,13.92,153.22,27.84,5.5037,Fail,820.97,2385.98,UB 610x229x101,UC 305x305x118,101.2,118.0,103.66,187.78,37258.46
1589,1,2,2,4.17,7.17,5.1,8.58,13.02,1.48,4.17,1.26,8.34,0.1506,Pass,163.79,431.75,UB 406x178x54,UC 203x203x60,54.3,60.0,99.79,79.16,6249.37
1590,2,1,3,3.0,5.42,6.48,19.05,12.19,23.92,6.0,32.86,12.0,2.7385,Fail,316.41,901.17,UB 457x191x67,UC 305x305x97,67.1,96.9,79.35,94.85,12778.35
1591,4,2,3,4.32,4.8,7.24,9.7,14.01,15.13,17.28,138.22,34.56,3.9993,Fail,555.14,1679.97,UB 533x210x82,UC 305x305x118,82.2,118.0,97.99,165.39,58519.01
1592,3,3,1,4.1,4.78,7.2,12.06,12.28,10.57,12.3,34.99,24.6,1.4222,Fail,194.67,887.85,UB 356x171x45,UC 254x254x89,45.0,89.0,91.34,97.5,16517.4
1593,1,2,2,3.31,5.18,4.12,21.1,7.48,9.22,3.31,2.94,6.62,0.4442,Pass,117.12,417.12,UB 356x171x45,UC 203x203x46,45.0,46.1,76.94,83.42,3884.32
1594,2,2,3,3.57,4.63,5.78,12.85,14.18,11.4,7.14,16.16,14.28,1.1317,Fail,135.72,841.26,UB 305x165x40,UC 254x254x73,40.5,73.1,78.97,92.92,13477.07
1595,2,3,3,3.68,4.65,4.51,28.9,3.61,21.69,7.36,24.54,14.72,1.6674,Fail,186.35,846.29,UB 356x171x45,UC 254x254x89,45.0,89.0,87.44,94.2,20373.44
1596,5,2,2,3.21,7.33,5.5,5.64,7.65,8.1,16.05,48.51,32.1,1.5112,Fail,237.29,1259.45,UB 406x178x54,UC 305x305x97,54.3,96.9,79.16,96.71,34897.27
1597,2,2,3,4.25,4.14,5.13,19.14,9.39,22.08,8.5,56.65,17.0,3.3321,Fail,306.19,773.11,UB 457x191x67,UC 305x305x118,67.1,118.0,76.79,93.36,22676.72
1598,1,3,3,4.07,5.99,7.71,8.5,3.33,4.08,4.07,2.09,8.14,0.2573,Pass,95.35,237.93,UB 305x165x40,UC 203x203x46,40.5,46.1,70.11,51.53,9660.23
1599,2,1,2,4.46,5.35,5.65,23.77,8.4,13.63,8.92,75.15,17.84,4.2126,Fail,392.2,887.97,UB 457x191x67,UC 305x305x118,67.1,118.0,98.36,93.37,11502.19
1600,5,2,3,4.18,6.78,6.19,7.24,4.69,3.98,20.9,56.0,41.8,1.3396,Fail,198.89,1114.42,UB 356x171x45,UC 305x305x97,45.0,96.9,93.32,86.75,49041.27
1601,3,1,1,3.08,6.73,4.1,21.07,11.06,11.97,9.24,42.28,18.48,2.288,Fail,347.83,799.92,UB 457x191x67,UC 305x305x97,67.1,96.9,87.23,87.78,7941.58
1602,1,1,1,4.42,7.82,4.55,12.99,7.04,15.86,4.42,27.04,8.84,3.0587,Fail,199.43,191.61,UB 457x191x67,UC 254x254x73,67.1,73.1,76.36,84.26,2952.46
1603,4,1,3,4.15,5.97,6.68,22.43,9.15,1.0,16.6,15.16,33.2,0.4567,Pass,180.38,1758.0,UB 406x178x54,UC 305x305x97,54.3,96.9,84.22,90.83,26760.43
1604,5,1,1,3.34,5.97,5.4,7.02,13.46,12.73,16.7,137.43,33.4,4.1146,Fail,657.99,1110.89,UB 610x229x101,UC 305x305x118,101.2,118.0,83.08,126.6,19388.84
1605,2,2,1,3.23,4.03,6.51,20.57,5.45,9.36,6.46,8.79,12.92,0.68,Pass,106.59,537.77,UB 254x146x31,UC 203x203x60,31.1,60.0,97.88,86.56,4543.03
1606,4,1,1,4.13,5.03,4.78,27.45,7.1,16.26,16.52,222.28,33.04,6.7275,Fail,978.37,1346.49,UB 610x229x101,UC 305x305x118,101.2,118.0,123.53,185.29,15739.62
1607,4,1,2,3.91,6.61,6.05,15.14,4.4,1.04,15.64,13.61,31.28,0.4352,Pass,116.86,1070.67,UB 406x178x54,UC 254x254x73,54.3,73.1,70.73,87.16,16423.02
1608,1,3,1,3.3,6.28,6.99,25.82,10.76,22.17,3.3,5.43,6.6,0.8221,Pass,206.91,511.93,UB 457x191x67,UC 254x254x73,67.1,73.1,72.22,71.87,6334.28
1609,3,2,2,3.08,6.5,6.27,27.11,5.28,12.78,9.24,25.44,18.48,1.3768,Fail,246.38,1794.87,UB 457x191x67,UC 305x305x118,67.1,118.0,70.91,85.08,25236.49
1610,3,1,1,4.24,7.44,4.83,28.67,7.05,8.18,12.72,90.65,25.44,3.5632,Fail,461.48,987.04,UB 533x210x82,UC 305x305x118,82.2,118.0,81.46,94.76,12055.4
1611,4,3,1,4.38,5.92,6.39,24.88,10.67,23.45,17.52,173.48,35.04,4.9509,Fail,656.49,1846.94,UB 610x229x101,UC 305x305x118,101.2,118.0,82.89,186.11,41264.06
1612,1,3,1,4.33,7.41,6.48,26.43,14.31,23.25,4.33,15.96,8.66,1.8434,Fail,328.04,627.15,UB 533x210x82,UC 254x254x89,82.2,89.0,81.79,87.89,8868.2
1613,3,2,2,4.09,7.84,4.39,14.2,10.4,24.27,12.27,141.62,24.54,5.771,Fail,573.93,1342.94,UB 610x229x101,UC 305x305x118,101.2,118.0,72.47,158.36,35308.91
1614,3,1,2,3.63,4.09,7.08,27.46,5.93,6.57,10.89,31.59,21.78,1.4504,Fail,233.72,1415.5,UB 406x178x54,UC 305x305x97,54.3,96.9,77.97,93.12,12943.56
1615,2,1,3,4.12,6.73,4.12,28.28,8.19,0.36,8.24,1.74,16.48,0.1058,Pass,175.22,776.37,UB 457x191x67,UC 254x254x73,67.1,73.1,88.62,99.47,11748.84
1616,1,3,1,3.68,7.55,6.78,11.83,2.29,14.08,3.68,5.41,7.36,0.7351,Pass,117.55,218.12,UB 406x178x54,UC 203x203x46,54.3,46.1,76.16,76.93,5289.59
1617,1,3,3,3.23,4.26,6.71,5.75,8.47,20.76,3.23,4.1,6.46,0.635,Pass,89.47,235.92,UB 254x146x31,UC 203x203x46,31.1,46.1,82.16,59.17,6476.45
1618,4,1,1,3.87,4.18,4.25,24.24,5.65,7.04,15.48,70.95,30.96,2.2918,Fail,388.12,876.23,UB 457x191x67,UC 305x305x118,67.1,118.0,97.33,81.86,11831.78
1619,4,1,2,3.04,5.09,7.49,10.87,7.82,0.05,12.16,0.26,24.32,0.0108,Pass,142.57,1104.25,UB 305x165x40,UC 254x254x73,40.5,73.1,82.95,81.04,12660.64
1620,1,3,2,3.84,6.81,7.17,22.89,11.65,7.16,3.84,3.16,7.68,0.4116,Pass,266.72,741.38,UB 457x191x67,UC 254x254x73,67.1,73.1,86.96,84.11,11329.86
1621,1,3,2,3.68,5.89,4.66,21.47,6.83,13.78,3.68,4.87,7.36,0.6616,Pass,142.17,454.11,UB 406x178x54,UC 203x203x60,54.3,60.0,72.48,79.83,7552.35
1622,2,2,3,3.96,5.63,6.32,14.3,14.79,19.18,7.92,42.57,15.84,2.6874,Fail,258.78,1038.67,UB 406x178x54,UC 305x305x118,54.3,118.0,86.33,84.17,22283.23
1623,2,3,2,4.01,5.63,7.85,7.16,5.29,3.44,8.02,5.73,16.04,0.3569,Pass,108.68,504.65,UB 305x165x40,UC 203x203x46,40.5,46.1,63.23,89.91,13627.73
1624,3,3,2,3.68,6.16,6.72,27.24,6.46,22.96,11.04,57.84,22.08,2.6197,Fail,347.04,1889.5,UB 457x191x67,UC 305x305x118,67.1,118.0,87.03,119.68,37614.6
1625,2,3,2,3.81,7.33,4.64,24.97,3.81,20.41,7.62,31.54,15.24,2.0696,Fail,257.5,996.63,UB 457x191x67,UC 305x305x97,67.1,96.9,90.36,82.48,22695.21
1626,2,3,2,3.12,5.68,4.45,17.53,2.55,2.6,6.24,1.85,12.48,0.148,Pass,84.42,587.57,UB 356x171x45,UC 203x203x46,45.0,46.1,71.27,90.26,11256.77
1627,1,2,3,4.0,4.66,4.91,22.74,6.35,2.92,4.0,1.81,8.0,0.2268,Pass,94.81,421.17,UB 305x165x40,UC 203x203x46,40.5,46.1,81.17,74.24,5512.34
1628,3,3,2,3.78,7.28,4.88,13.78,7.3,18.79,11.34,56.45,22.68,2.4888,Fail,297.23,1128.63,UB 457x191x67,UC 305x305x118,67.1,118.0,74.54,88.9,37105.37
1629,1,1,3,3.97,4.62,6.78,23.83,11.31,22.33,3.97,21.34,7.94,2.6875,Fail,220.38,501.69,UB 406x178x54,UC 254x254x73,54.3,73.1,73.52,94.7,5534.04
1630,5,1,2,3.22,4.29,7.8,11.05,7.28,20.63,16.1,166.7,32.2,5.1771,Fail,956.09,1900.02,UB 610x229x101,UC 305x305x118,101.2,118.0,120.72,192.57,33698.22
1631,5,3,1,4.43,4.76,4.06,12.39,4.69,20.69,22.15,211.77,44.3,4.7804,Fail,729.53,939.45,UB 610x229x101,UC 305x305x118,101.2,118.0,92.11,175.81,43578.4
1632,1,1,2,3.68,4.48,7.78,21.54,2.14,14.94,3.68,10.7,7.36,1.4542,Fail,207.45,378.57,UB 356x171x45,UC 203x203x60,45.0,60.0,97.34,87.61,3330.0
1633,3,2,2,3.31,5.71,6.36,16.96,9.99,1.05,9.93,2.57,19.86,0.1295,Pass,150.59,1448.34,UB 356x171x45,UC 254x254x73,45.0,73.1,97.18,98.95,16309.65
1634,4,1,2,3.48,4.12,6.8,26.53,6.99,13.48,13.92,93.19,27.84,3.3474,Fail,581.26,2002.47,UB 610x229x101,UC 305x305x118,101.2,118.0,73.39,142.81,25869.25
1635,1,2,3,3.88,7.52,7.8,22.12,14.93,9.5,3.88,6.19,7.76,0.7971,Pass,309.17,862.78,UB 533x210x82,UC 254x254x89,82.2,89.0,77.74,87.05,14859.43
1636,4,1,2,3.38,4.37,4.98,25.77,10.21,2.35,13.52,15.08,27.04,0.5575,Pass,137.4,1533.19,UB 305x165x40,UC 254x254x89,40.5,89.0,82.79,89.22,12570.54
1637,4,3,2,3.36,7.94,4.14,12.75,12.1,21.37,13.44,73.74,26.88,2.7433,Fail,398.24,1754.26,UB 457x191x67,UC 305x305x118,67.1,118.0,99.87,119.32,47100.31
1638,2,3,2,3.14,6.74,6.37,21.88,2.37,12.66,6.28,9.63,12.56,0.7666,Pass,161.84,914.21,UB 406x178x54,UC 254x254x73,54.3,73.1,93.06,81.43,17630.75
1639,1,3,1,3.69,6.79,5.55,28.12,10.5,1.22,3.69,0.57,7.38,0.0769,Pass,236.09,529.97,UB 457x191x67,UC 254x254x73,67.1,73.1,96.38,73.82,6381.19
1640,5,1,3,3.78,4.7,5.81,26.34,2.52,15.03,18.9,219.41,37.8,5.8045,Fail,984.44,2144.82,UB 610x229x101,UC 305x305x118,101.2,118.0,124.3,204.98,44993.56
1641,4,1,3,3.23,7.35,4.8,17.16,2.07,19.39,12.92,142.13,25.84,5.5004,Fail,706.59,1101.13,UB 610x229x101,UC 305x305x118,101.2,118.0,89.22,138.01,35755.84
1642,2,2,1,3.45,4.89,7.46,19.59,8.41,17.85,6.9,22.85,13.8,1.6555,Fail,184.11,692.69,UB 356x171x45,UC 254x254x89,45.0,89.0,86.38,87.51,7459.2
1643,1,1,1,3.21,6.96,7.79,19.07,7.7,9.17,3.21,4.8,6.42,0.7481,Pass,161.33,281.16,UB 457x191x67,UC 203x203x60,67.1,60.0,71.95,94.85,2749.85
1644,4,1,3,3.79,6.78,6.54,7.66,8.16,6.97,15.16,83.1,30.32,2.7409,Fail,374.03,1020.51,UB 457x191x67,UC 305x305x118,67.1,118.0,93.8,84.54,32122.06
1645,5,3,2,3.1,4.35,7.51,21.62,8.17,12.68,15.5,35.43,31.0,1.1428,Fail,243.46,2533.86,UB 406x178x54,UC 305x305x118,54.3,118.0,81.22,115.01,48888.94
1646,2,1,1,3.04,4.35,4.75,9.91,10.58,13.65,6.08,17.7,12.16,1.4557,Fail,177.56,318.36,UB 356x171x45,UC 254x254x73,45.0,73.1,83.31,74.3,3415.79
1647,5,2,2,3.1,7.16,4.74,15.33,9.28,5.81,15.5,30.6,31.0,0.9872,Pass,225.17,2106.86,UB 457x191x67,UC 305x305x118,67.1,118.0,72.01,87.85,40415.7
1648,2,2,1,4.12,5.56,5.49,17.75,2.16,13.11,8.24,33.37,16.48,2.0252,Fail,186.84,468.21,UB 356x171x45,UC 254x254x89,45.0,89.0,87.67,82.98,7884.06
